S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,GOVT RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1654,353528,146,70702,4858,2707,BM,BC
1655,286919,146,70706,4859,1149,AD,BC
1656,334654,146,70710,4860,5536,EE,SC
1657,410594,146,70713,4861,2607,CE,SC
1658,325138,146,70725,4862,4980,CS,BC
1659,227540,146,70762,4865,1210,EC,BCM
1660,216372,146,70773,4867,2734,IT,MBC
1661,351415,146,70778,4868,2642,EE,OC
1662,407724,146,70779,4869,1525,CS,OC
1663,370027,146,70793,4870,2609,CS,BCM
1664,346389,146,70798,4872,2751,CS,BC
1665,341638,146,70806,4874,2764,EE,BC
1666,274705,146,70816,4875,2603,EE,BC
1667,372541,146,70848,4877,2627,IT,MBC
1668,260405,146,70880,4879,4959,IT,OC
1669,310784,146,70901,4880,2328,EE,SC
1670,352064,146,70904,4881,2611,CS,BC
1671,307899,146,70914,4883,2617,SC,OC
1672,323559,146,70925,4886,3011,AU,OC
1673,321522,146,70971,4892,1114,IT,MBC
1674,282589,146,70986,4893,1324,CS,BCM
1675,303915,146,71002,4894,1432,ME,OC
1676,257446,146,71004,4896,4970,ME,OC
1677,370133,145.64,71025,4901A,5912,CE,OC
1678,296153,145.615,71028,4902,2707,BM,SC
1679,380990,145.5,71038,4903,1518,CS,MBC
1680,271040,145.5,71041,4904,4974,ME,OC
1681,349029,145.5,71057,4906,3812,IT,OC
1682,358097,145.5,71061,4907,3795,EE,OC
1683,313191,145.5,71104,4909,2749,CS,BC
1684,346101,145.5,71159,4914,2659,BM,MBC
1685,306345,145.5,71162,4915,2708,CS,SCA
1686,292651,145.5,71177,4916,2659,EC,BC
1687,306816,145.5,71192,4917,5910,CB,MBC
1688,285189,145.5,71204,4918,3812,CE,OC
1689,351249,145.5,71209,4919,3810,EC,BC
1690,356201,145.5,71216,4920,2711,ME,MBC
1691,252545,145.5,71273,4923,1322,AD,BC
1692,258560,145.5,71288,4925,1411,IT,OC
1693,331647,145.5,71303,4926,2727,CS,BC
1694,253827,145.5,71308,4928,1450,ME,SC
1695,234134,145.5,71319,4929,1222,CS,OC
1696,310534,145.5,71321,4930,2357,CS,OC
1697,354676,145.5,71324,4931,1325,CS,BC
