S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
19269,422074,MBC,157,55466,5865,CS,OC
19270,271600,BC,157,55468,1408,CE,OC
19271,332304,BC,157,55469,4965,EC,OC
19272,206043,BC,157,55472,1309,EE,BC
19273,222068,MBC,157,55473,1307,SC,OC
19274,330249,BC,157,55475,2725,EC,BC
19275,352210,BCM,157,55476,1301,IT,OC
19276,248773,SC,157,55477,2722,CS,SC
19277,244374,BC,157,55479,4959,IT,OC
19278,223395,SC,157,55481,2719,AD,SC
19279,271271,BC,157,55482,2706,ME,OC
19280,298273,BC,157,55483,2750,EC,OC
19281,279186,MBC,157,55486,1210,EE,OC
19282,236996,BCM,157,55487,1120,SC,BCM
19283,216078,BC,157,55488,4960,EE,BC
19284,293438,BC,157,55489,2711,MZ,BC
19285,289385,BC,157,55493,1120,IT,BC
19286,238024,SC,157,55494,1321,MN,SC
19287,295449,MBC,157,55497,1317,CH,OC
19288,322579,MBC,157,55498,2329,IT,MBC
19289,241741,MBC,157,55499,4955,EE,OC
19290,420982,OC,157,55500,3826,EC,OC
19291,309424,SC,157,55501,1432,AD,SC
19292,380975,MBC,157,55502,1322,CS,OC
19293,241663,BC,157,55503,2750,CS,BC
19294,363238,MBC,157,55506,2735,CS,MBC
19295,329708,BC,157,55507,5904,EC,OC
19296,319357,OC,157,55509,1219,AU,OC
19297,251650,BC,157,55510,5904,EC,OC
19298,306059,MBC,157,55512,3819,EE,OC
19299,254334,SC,157,55513,2,AP,SC
19300,328054,BC,157,55514,2715,CS,OC
19301,315908,BC,157,55517,2369,CE,OC
19302,401390,BC,157,55518,2627,BT,OC
19303,283439,MBC,157,55519,1014,IT,MBC
19304,347931,SC,157,55520,1211,CH,SC
19305,227295,BC,157,55522,1422,EI,OC
19306,364796,OC,157,55523,2601,CS,OC
19307,289918,MBC,157,55527,1233,AD,OC
19308,335016,MBC,157,55528,2608,IT,MBC
19309,272029,MBC,157,55530,2715,CI,OC
19310,413817,MBC,157,55531,2615,CE,MBC
19311,228879,MBC,157,55534,3830,AD,MBC
19312,329233,BC,157,55536,3795,EE,OC
19313,345688,MBC,157,55537,1319,AD,OC
19314,238574,BC,157,55539,2726,BM,OC
19315,312614,MBC,157,55541,1210,EC,MBC
19316,230327,BC,157,55542,2740,IT,BC
19317,309720,MBC,157,55546,2702,ME,MBC
19318,223675,MBC,157,55548,1118,AD,MBC
19319,256608,BCM,157,55551,5921,BM,OC
19320,348771,BC,157,55554,1325,IT,OC
19321,279857,BC,157,55558,2727,AL,OC
19322,209557,MBC,157,55559,2735,CS,MBC
19323,380660,BC,157,55560,1317,BT,BC
19324,266994,MBC,157,55567,5904,CS,MBC
19325,224582,BC,157,55568,1149,EC,BC
19326,390244,BC,157,55569,1219,MU,BC
19327,333881,BC,157,55575,1237,CS,BC
19328,249191,BC,157,55576,3016,EE,OC
19329,323300,ST,157,55577,2709,IT,ST
19330,251275,BCM,157,55579,1211,CH,BCM
19331,403081,MBC,157,55583,1408,AD,MBC
19332,204039,BCM,157,55584,1419,EI,BCM
19333,391696,MBC,157,55586,3843,IT,OC
19334,287695,BC,157,55587,2608,IT,BC
19335,363564,BC,157,55590,5986,CE,OC
19336,326780,MBC,157,55592,2723,AM,OC
19337,291214,BC,157,55594,1120,IT,BC
19338,312645,MBC,157,55595,1216,EI,MBC
19339,272374,BC,157,55597,2329,AM,BC
19340,213662,BC,157,55598,3701,CS,BC
19341,356504,BC,157,55599,1307,AD,BC
19342,275798,BC,157,55600,4960,BM,OC
19343,298871,BC,157,55601,2329,EC,BC
19344,334033,BC,157,55606,2734,TS,OC
19345,332276,BC,157,55607,2653,CS,BC
19346,399762,BCM,157,55609,3841,CS,OC
19347,217347,BCM,157,55611,1140,CS,BCM
19348,394098,BC,157,55612,2762,CS,OC
19349,228018,BC,157,55613,3701,IT,OC
19350,394632,MBC,157,55615,2725,EC,MBC
19351,307043,MBC,157,55618,4974,CE,MBC
19352,270454,MBC,157,55621,2653,CS,MBC
19353,233459,BC,157,55622,1233,CS,OC
19354,261673,MBC,157,55629,2734,IT,MBC
19355,307549,MBC,157,55630,2653,CS,MBC
19356,245475,BC,157,55631,2740,CS,OC
19357,399926,SC,157,55636,3841,EC,OC
19358,326729,BC,157,55639,4680,EC,BC
19359,326887,BC,157,55642,2653,EE,OC
19360,226761,BC,157,55649,3833,CS,OC
19361,363239,MBC,157,55652,2708,ME,OC
19362,273011,BC,157,55655,2653,EE,OC
19363,252339,MBC,157,55657,5904,CS,MBC
19364,276123,BC,157,55660,1216,EI,BC
19365,354116,SC,157,55661,2718,CS,SC
19366,242811,BC,157,55662,1120,AD,BC
19367,373300,BC,157,55663,1210,EC,BC
19368,208765,SC,157,55664,2764,CS,SC
19369,286663,SC,157,55665,1516,EC,SC
19370,245958,SC,157,55666,2706,CS,SC
19371,403557,BC,157,55670,2651,EC,OC
19372,203542,SC,157,55671,4024,XC,OC
19373,263458,MBC,157,55676,5919,CS,OC
19374,219389,BC,157,55679,2727,AL,OC
19375,350390,BC,157,55681,5530,AD,OC
19376,363892,BC,157,55682,3011,EE,OC
19377,381003,MBC,157,55683,2608,AD,MBC
19378,343421,MBC,157,55684,2719,BM,MBC
19379,251110,SC,157,55686,2739,CS,SC
19380,232860,SC,157,55688,2005,PR,SC
19381,302168,BC,157,55689,2715,AD,BC
19382,360611,SC,157,55690,1140,ME,OC
19383,272228,BC,157,55692,1317,BT,BC
19384,288401,BCM,157,55693,1101,AD,OC
19385,210154,BC,157,55698,1210,EC,BC
19386,292332,BC,157,55703,2622,CS,BC
19387,303532,BCM,157,55705,2618,EE,BCM
19388,322746,MBC,157,55709,1122,BT,OC
19389,280663,MBC,157,55712,3805,AD,OC
19390,267707,BC,157,55714,1210,AL,BC
19391,350678,BC,157,55715,5,CH,OC
19392,254317,BC,157,55717,2726,IT,BC
19393,335174,BC,157,55718,2725,IT,BC
19394,290320,BC,157,55719,5009,EC,BC
19395,376383,MBC,157,55720,1118,EC,MBC
19396,297956,MBC,157,55723,3805,BT,OC
19397,351422,BC,157,55725,2725,CS,BC
19398,212866,MBC,157,55729,1311,AE,MBC
19399,213327,BC,157,55731,2736,BM,OC
19400,413099,MBC,157,55733,1226,IT,OC
19401,307890,BC,157,55736,3841,AD,OC
19402,331237,BC,157,55742,2615,MT,BC
19403,371419,MBC,157,55744,2601,IT,MBC
19404,309026,BC,157,55746,3804,CS,OC
19405,337582,MBC,157,55747,5009,CE,OC
19406,258553,SC,157,55748,3819,CS,SC
19407,407443,BC,157,55750,1516,ME,OC
19408,243290,BCM,157,55753,1120,AD,BCM
19409,294016,BC,157,55755,1120,EE,OC
19410,259048,BC,157,55757,2719,BM,BC
19411,294777,BCM,157,55758,1149,EC,BCM
19412,285254,BC,157,55760,4959,CS,BC
19413,382379,BC,157,55762,2638,EC,OC
19414,328692,BC,157,55763,2740,IT,BC
19415,283774,BC,157,55768,2729,IT,BC
19416,224686,SCA,157,55769,2702,CS,SC
19417,336635,SC,157,55770,2005,PR,SC
19418,215356,BC,157,55772,3011,XC,OC
19419,400688,MBC,157,55773,3805,SC,OC
19420,383628,MBC,157,55775,4934,BM,OC
19421,309617,BCM,157,55777,3826,CE,OC
19422,351906,BC,157,55781,2608,EC,BC
19423,245971,BC,157,55783,4944,CS,OC
19424,411019,BC,157,55784,2750,EC,BC
19425,336772,MBC,157,55785,3021,CS,MBC
19426,351102,BC,157,55789,1422,AG,OC
19427,417413,BC,157,55791,2740,CS,BC
19428,222746,BC,157,55794,1210,EC,BC
19429,216778,BC,157,55795,2745,EC,OC
19430,320053,BCM,157,55797,1120,EC,BCM
19431,398024,BC,157,55798,3804,CS,OC
19432,286365,BC,157,55800,4670,CS,OC
19433,299403,MBC,157,55804,3701,AD,OC
19434,351123,SC,157,55805,4974,EE,SC
19435,352420,BC,157,55806,2646,CS,OC
19436,373653,BC,157,55808,2708,AE,OC
19437,399057,BC,157,55809,3803,EC,OC
19438,256677,BC,157,55810,5904,CI,OC
19439,351077,BC,157,55811,2607,AM,OC
19440,394857,BC,157,55812,2727,EC,BC
19441,260315,BC,157,55813,2329,AM,BC
19442,372820,BC,157,55816,1408,EC,OC
19443,361320,MBC,157,55817,1014,XC,OC
19444,402457,MBC,157,55818,5904,AD,MBC
19445,228576,BC,157,55819,2727,AL,OC
19446,222921,BC,157,55822,1422,EI,OC
19447,339765,MBC,157,55825,1309,EE,MBC
19448,320761,MBC,157,55826,2750,AD,MBC
19449,320737,BC,157,55827,2610,BT,OC
19450,337221,MBC,157,55828,2704,IT,MBC
19451,200615,BC,157,55829,1120,EI,OC
19452,261637,MBC,157,55830,2622,EC,OC
19453,426270,BC,156.87,55837,2650,CS,OC
19454,387555,MBC,156.755,55839,4955,EC,MBC
19455,357407,MBC,156.665,55841,2621,CS,OC
19456,413559,BC,156.61,55842,2610,AD,OC
19457,417269,MBC,156.56,55843,2347,IT,OC
19458,362569,SC,156.5,55845,1325,ME,OC
19459,367966,MBC,156.5,55847,2734,IT,MBC
19460,405201,BC,156.5,55848,2741,EC,OC
19461,399196,MBC,156.5,55850,2650,CS,OC
19462,331918,BC,156.5,55851,2622,IT,OC
19463,269125,SC,156.5,55852,5910,EC,SC
19464,329375,BCM,156.5,55853,1211,ME,BCM
19465,361622,BC,156.5,55854,2673,IT,OC
19466,318050,MBC,156.5,55855,1317,EE,MBC
19467,257655,BC,156.5,55858,3805,CS,BC
19468,284751,MBC,156.5,55860,3011,EE,OC
19469,258024,BC,156.5,55862,2751,EC,BC
19470,355724,MBC,156.5,55863,1014,IT,MBC
19471,302252,MBC,156.5,55864,5,EC,MBC
19472,286522,MBC,156.5,55865,4996,AD,OC
19473,363082,BC,156.5,55866,2607,AM,OC
19474,350661,BC,156.5,55869,3806,CS,OC
19475,214990,BC,156.5,55872,1419,EI,BC
19476,404129,MBC,156.5,55874,4023,CS,MBC
19477,416139,BC,156.5,55876,4864,EC,OC
19478,224724,BC,156.5,55877,2661,CS,OC
19479,201242,BC,156.5,55879,1120,IT,BC
19480,390879,MBC,156.5,55880,1122,AD,MBC
19481,315876,MBC,156.5,55882,1210,IT,MBC
19482,389855,BC,156.5,55883,2653,CB,OC
19483,408553,BC,156.5,55884,4957,AD,OC
19484,340475,BC,156.5,55885,1121,CS,OC
19485,214217,MBC,156.5,55887,4023,CS,MBC
19486,280882,MBC,156.5,55888,1304,RM,MBC
19487,343625,BC,156.5,55889,2715,EC,OC
19488,365251,BC,156.5,55890,2723,AM,OC
19489,314776,BC,156.5,55891,2608,EC,BC
19490,306050,BC,156.5,55892,2750,EC,BC
19491,388404,BC,156.5,55893,2751,EC,BC
19492,344598,MBC,156.5,55894,2719,EI,MBC
19493,391572,BC,156.5,55895,2608,IT,BC
19494,239439,BC,156.5,55896,1210,EC,BC
19495,260260,BC,156.5,55898,2661,CS,OC
19496,384715,BC,156.5,55902,1014,EC,OC
19497,334013,MBC,156.5,55908,1210,AD,MBC
19498,326751,MBC,156.5,55909,3805,CS,MBC
19499,387110,BC,156.5,55910,3804,AD,OC
19500,338169,BC,156.5,55911,1237,CS,BC
19501,327912,SC,156.5,55912,2025,EC,SC
19502,404114,BC,156.5,55914,1216,CH,OC
19503,318721,BC,156.5,55915,2632,CS,OC
19504,221213,BC,156.5,55916,4917,CS,OC
19505,407918,BC,156.5,55920,4952,CS,OC
19506,392119,BC,156.5,55922,2647,IT,OC
19507,400340,MBC,156.5,55924,3019,CS,MBC
19508,425842,BC,156.5,55927,2725,CS,BC
19509,410228,BC,156.5,55928,1419,CE,OC
19510,327834,BC,156.5,55930,2729,AE,OC
19511,330599,SC,156.5,55932,1319,AD,OC
19512,279127,MBC,156.5,55936,1428,CS,OC
19513,312656,BC,156.5,55937,1225,SC,OC
19514,335208,MBC,156.5,55939,3819,AM,MBC
19515,261562,BC,156.5,55940,4960,BM,OC
19516,265951,SC,156.5,55941,1311,AU,OC
19517,250669,OC,156.5,55945,2750,BT,OC
19518,236847,BC,156.5,55946,1304,ME,BC
19519,425771,BC,156.5,55947,1307,IT,OC
19520,297852,BC,156.5,55949,2608,CB,OC
19521,241468,BC,156.5,55951,1307,IT,BC
19522,412802,BC,156.5,55953,2347,IT,OC
19523,335688,MBC,156.5,55955,3464,EC,MBC
19524,211696,BC,156.5,55956,1118,CS,BC
19525,351257,MBC,156.5,55957,4968,CS,OC
19526,380902,BC,156.5,55960,4970,CS,OC
19527,298652,SC,156.5,55961,1409,BM,OC
19528,325778,BCM,156.5,55964,1405,CS,OC
19529,354737,MBC,156.5,55965,1014,EC,OC
19530,235082,BC,156.5,55966,1126,SC,OC
19531,373523,MBC,156.5,55968,1422,ME,OC
19532,385544,BC,156.5,55970,4955,CS,BC
19533,227238,BCM,156.5,55971,1210,IT,BCM
19534,254999,BC,156.5,55973,1026,EE,OC
19535,331511,BC,156.5,55974,2618,BM,BC
19536,427761,SC,156.5,55975,2750,AD,SC
19537,340659,MBC,156.5,55976,2727,AD,MBC
19538,256495,BC,156.5,55977,5901,ME,BC
19539,253983,BCM,156.5,55978,1304,ME,BCM
19540,376045,BC,156.5,55980,2726,CS,BC
19541,203262,BC,156.5,55981,2711,AU,OC
19542,395636,MBC,156.5,55983,2708,CH,OC
19543,384668,MBC,156.5,55985,1122,IT,MBC
19544,276585,SC,156.5,55988,2702,AD,SC
19545,244805,BC,156.5,55989,3830,CB,OC
19546,291896,BCM,156.5,55990,1210,IT,BCM
19547,204681,OC,156.5,55991,4965,BT,OC
19548,312369,SC,156.5,55992,4960,CS,SC
19549,268097,BC,156.5,55997,3701,CS,BC
19550,421173,MBC,156.5,56000,2726,EC,MBC
19551,291576,BCM,156.5,56002,1419,ME,BCM
19552,287845,MBC,156.5,56003,1122,IT,MBC
19553,357507,BC,156.5,56006,2708,CS,BC
19554,402655,BC,156.5,56007,5912,EC,OC
